1,Kane Williamson,New Zealand
2,Joe Root,England
3,Daryl Mitchell,New Zealand
3,Babar Azam,Pakistan
5,Steven Smith,Australia
6,Rohit Sharma,India
7,Yashasvi Jaiswal,India
8,Dimuth Karunaratne,Sri Lanka
9,Virat Kohli,India
10,Harry Brook,England
11,Usman Khawaja,Australia
12,Marnus Labuschagne,Australia
13,Travis Head,Australia
14,Saud Shakeel,Pakistan
15,Rishabh Pant,India
